Year ,Gold Average Closing Price ,Gold Year Open,Gold Year High,Gold Year Low,Gold Year Close,Gold Annual % Change,Oil Average Closing Price,Oil Year Open,Oil Year High,Oil Year Low,Oil Year Close,Oil Annual % Change,DXY Average Closing Price,DXY Year Open,DXY Year High,DXY Year Low,DXY Year Close,DXY Annual % Change
1998,294.12,287.70,314.60,273.40,287.45,-0.01,14.42,17.41,17.93,10.82,12.14,-0.31,8.3,8.31,8.32,8.28,8.28,0.00
1999,278.86,288.25,326.25,252.90,290.85,0.01,19.35,12.42,28.03,11.38,25.76,1.12,8.28,8.28,8.28,8.28,8.28,0.00
2000,279.29,282.05,316.60,263.80,272.65,-0.06,30.38,25.56,37.22,23.91,26.72,0.04,8.28,8.28,8.28,8.28,8.28,0.00
2001,271.19,272.80,292.85,256.70,276.50,0.01,25.98,27.29,32.21,17.50,19.96,-0.25,8.28,8.28,8.28,8.27,8.28,0.00
2002,310.08,278.10,348.50,277.80,342.75,0.24,26.19,21.13,32.68,18.02,31.21,0.56,8.28,8.28,8.28,8.27,8.28,0.00
2003,363.83,342.20,417.25,319.75,417.25,0.22,31.08,31.97,37.96,25.25,32.51,0.04,8.28,8.28,8.28,8.28,8.28,0.00
2004,409.53,415.20,455.75,373.50,438.00,0.05,41.51,33.71,56.37,32.49,43.36,0.33,8.28,8.28,8.28,8.28,8.28,0.00
2005,444.99,426.80,537.50,411.50,513.00,0.17,56.64,42.16,69.91,42.16,61.06,0.41,8.2,8.28,8.28,8.07,8.07,-0.03
2006,604.34,520.75,725.75,520.75,635.70,0.24,66.05,63.11,77.05,55.90,60.85,0.00,7.97,8.07,8.07,7.8,7.8,-0.03
2007,696.43,640.75,841.75,608.30,836.50,0.32,72.34,60.77,99.16,50.51,95.95,0.58,7.61,7.81,7.81,7.29,7.29,-0.07
2008,872.37,840.75,1023.50,692.50,865.00,0.03,99.67,99.64,145.31,30.28,44.60,-0.54,6.95,7.29,7.29,6.78,6.82,-0.06
2009,973.66,869.75,1218.25,813.00,1104.00,0.28,61.95,46.17,81.03,34.03,79.39,0.78,6.83,6.82,6.85,6.82,6.83,0.00
2010,1226.66,1113.00,1426.00,1052.25,1410.25,0.28,79.48,81.52,91.48,64.78,91.38,0.15,6.77,6.83,6.83,6.6,6.6,-0.03
2011,1573.16,1405.50,1896.50,1316.00,1574.50,0.12,94.88,91.59,113.39,75.40,98.83,0.08,6.46,6.59,6.64,6.29,6.29,-0.05
2012,1668.86,1590.00,1790.00,1537.50,1664.00,0.06,94.05,102.96,109.39,77.72,91.83,-0.07,6.31,6.29,6.39,6.22,6.23,-0.01
2013,1409.51,1681.50,1692.50,1192.75,1201.50,-0.28,97.98,93.14,110.62,86.65,98.17,0.07,6.15,6.23,6.24,6.05,6.05,-0.03
2014,1266.06,1219.75,1379.00,1144.50,1199.25,0.00,93.17,95.14,107.95,53.45,53.45,-0.46,6.16,6.05,6.26,6.04,6.2,0.02
2015,1158.86,1184.25,1298.00,1049.60,1060.20,-0.12,48.66,52.72,61.36,34.55,37.13,-0.31,6.28,6.2,6.49,6.19,6.48,0.05
2016,1251.92,1075.20,1372.60,1073.60,1151.70,0.09,43.29,36.81,54.01,26.19,53.75,0.45,6.65,6.53,6.96,6.45,6.95,0.07
2017,1260.39,1162.00,1351.20,1162.00,1296.50,0.13,50.80,52.36,60.46,42.48,60.46,0.12,6.76,6.96,6.96,6.49,6.51,-0.06
2018,1268.93,1312.80,1360.25,1176.70,1281.65,-0.01,65.23,60.37,77.41,44.48,45.15,-0.25,6.63,6.49,6.98,6.26,6.88,0.06
2019,1393.34,1287.20,1542.60,1270.05,1523.00,0.19,56.99,46.31,66.24,46.31,61.14,0.35,6.91,6.88,7.18,6.69,6.96,0.01
2020,1773.73,1520.55,2058.40,1472.35,1895.10,0.24,39.68,61.17,63.27,11.26,48.52,-0.21,6.9,6.96,7.17,6.52,6.53,-0.06
2021,1798.89,1946.60,1954.40,1678.00,1828.60,-0.04,68.17,47.62,84.65,47.62,75.21,0.55,6.45,6.53,6.57,6.34,6.36,-0.03
2022,1801.87,1800.10,2043.30,1626.65,1824.32,0.00,94.53,76.08,123.70,71.59,80.51,0.07,6.73,6.36,7.3,6.31,6.9,0.09
2023,1943.00,1824.16,2115.10,1811.27,2062.92,0.13,77.64,80.26,93.84,66.74,71.33,-0.11,7.08,6.9,7.34,6.7,7.08,0.03
2024,2340.74,2064.61,2785.87,1992.06,2736.42,0.33,77.02,71.65,87.01,66.37,69.49,-0.03,7.18,7.08,7.28,7.08,7.18,0.01
